 estudio;yr;fecha;nombre
3340;2021;02/11/2021;BARÓMETRO DE NOVIEMBRE 2021
3337;2021;01/10/2021;BARÓMETRO DE OCTUBRE 2021
3334;2021;02/07/2021;BARÓMETRO DE SEPTIEMBRE 2021
3330;2021;02/07/2021;BARÓMETRO DE JULIO 2021
3326;2021;02/06/2021;BARÓMETRO DE JUNIO 2021
3322;2021;04/05/2021;BARÓMETRO DE MAYO 2021
3318;2021;05/04/2021;BARÓMETRO DE ABRIL 2021
3313;2021;01/03/2021;BARÓMETRO DE MARZO 2021
3309;2021;03/02/2021;BARÓMETRO DE FEBRERO 2021
3307;2021;07/01/2021;BARÓMETRO DE ENERO 2021
3303;2020;01/12/2020;BARÓMETRO DE DICIEMBRE 2020
3300;2020;03/11/2020;BARÓMETRO DE NOVIEMBRE 2020
3296;2020;01/10/2020;BARÓMETRO DE OCTUBRE 2020
3292;2020;01/09/2020;BARÓMETRO DE SEPTIEMBRE 2020
3288;2020;01/07/2020;BARÓMETRO DE JULIO 2020
3283;2020;01/06/2020;BARÓMETRO DE JUNIO 2020
3281;2020;04/05/2020;BARÓMETRO DE MAYO 2020
3279;2020;01/04/2020;BARÓMETRO DE ABRIL 2020
3277;2020;01/03/2020;BARÓMETRO DE MARZO 2020
3273;2020;01/02/2020;BARÓMETRO DE FEBRERO 2020
3271;2020;02/01/2020;BARÓMETRO DE ENERO 2020
3269;2019;01/12/2019;BARÓMETRO DE DICIEMBRE 2019. POSTELECTORAL ELECCIONES GENERALES 2019
3267;2019;01/11/2019;BARÓMETRO DE NOVIEMBRE 2019
3261;2019;01/09/2019;BARÓMETRO DE SEPTIEMBRE 2019
3257;2019;01/07/2019;BARÓMETRO DE JULIO 2019
3252;2019;01/06/2019;BARÓMETRO DE JUNIO 2019
3247;2019;01/05/2019;BARÓMETRO DE MAYO 2019
3240;2019;01/02/2019;BARÓMETRO DE FEBRERO 2019
3238;2019;01/01/2019;BARÓMETRO DE ENERO 2019
3234;2018;01/12/2018;BARÓMETRO DE DICIEMBRE 2018
3231;2018;01/11/2018;BARÓMETRO DE NOVIEMBRE 2018
3226;2018;01/10/2018;BARÓMETRO DE OCTUBRE 2018
3223;2018;01/09/2018;BARÓMETRO DE SEPTIEMBRE 2018
3219;2018;01/07/2018;BARÓMETRO DE JULIO 2018
3217;2018;01/06/2018;BARÓMETRO DE JUNIO 2018
3213;2018;01/05/2018;BARÓMETRO DE MAYO 2018
3210;2018;01/04/2018;BARÓMETRO DE ABRIL 2018
3207;2018;01/03/2018;BARÓMETRO DE MARZO 2018
3205;2018;01/02/2018;BARÓMETRO DE FEBRERO 2018
3203;2018;02/01/2018;BARÓMETRO DE ENERO 2018
3199;2017;01/12/2017;BARÓMETRO DE DICIEMBRE 2017
3195;2017;01/11/2017;BARÓMETRO DE NOVIEMBRE 2017
3191;2017;02/10/2017;BARÓMETRO DE OCTUBRE 2017
3187;2017;01/09/2017;BARÓMETRO DE SEPTIEMBRE 2017
3183;2017;01/07/2017;BARÓMETRO DE JULIO 2017
3179;2017;01/06/2017;BARÓMETRO DE JUNIO 2017
3175;2017;01/05/2017;BARÓMETRO DE MAYO 2017
3173;2017;01/04/2017;BARÓMETRO DE ABRIL 2017
3170;2017;01/03/2017;BARÓMETRO DE MARZO 2017
3168;2017;01/02/2017;BARÓMETRO DE FEBRERO 2017
3164;2017;02/01/2017;BARÓMETRO DE ENERO 2017
3162;2016;01/12/2016;BARÓMETRO DE DICIEMBRE 2016
3159;2016;01/11/2016;BARÓMETRO DE NOVIEMBRE 2016
3156;2016;01/10/2016;BARÓMETRO DE OCTUBRE 2016
3149;2016;03/09/2016;BARÓMETRO DE SEPTIEMBRE 2016
3146;2016;01/07/2016;BARÓMETRO DE JULIO 2016. OPINIÓN PÚBLICA Y POLÍTICA FISCAL (XXXIII)
3142;2016;01/06/2016;BARÓMETRO DE JUNIO 2016
3138;2016;01/05/2016;BARÓMETRO DE MAYO 2016
3134;2016;01/04/2016;BARÓMETRO DE ABRIL 2016
3131;2016;01/03/2016;BARÓMETRO DE MARZO 2016
3128;2016;01/02/2016;BARÓMETRO DE FEBRERO 2016
3124;2016;02/01/2016;BARÓMETRO DE ENERO 2016
3121;2015;01/12/2015;BARÓMETRO DE DICIEMBRE 2015
